parameter,paper_value,our_value,reason,expected_impact
CN discovery platform/panel/cohort,"CODEX, 41-plex, NSCLC (unspecified n)","CODEX, 56-plex, Schurch 2020 CRC (35 patients/140 regions); Orion 18-plex IF CRC as fallback","No public CODEX 41-plex NSCLC re-implementation dataset; CRC has the strongest public same-section paired resource (Orion), so the whole pipeline trains on CRC and is APPLIED to breast (see design note in config/crc_train_brca_apply.yaml)","Richer marker panel (56 vs 41) partially offsets tissue mismatch; CN identities will not literally match the paper's 10 NSCLC neighbourhoods and must be renamed from marker enrichment (F3/T2), never assumed"
Paired same-section cohort,"CODEX + H&E, same lung sections","Orion 18-plex IF + H&E, same CRC sections, already registered at 0.325 um/px",Breast has only 1-3 Xenium samples and 10x documents its alignment as unsuitable for sub-cellular correspondence; Orion has 74 same-section resections with pre-registered pairs,"Label-transfer noise floor should be LOWER than a from-scratch registration would give, since Orion is pre-registered -- still verified per-sample (F6), not assumed"
Encoder,MUSK (fine-tuned final 2 layers),Phikon (frozen throughout),"MUSK is gated on HuggingFace and its reference loader assumes CUDA/fp16; Phikon is ungated and CPU-tractable. Frozen (not fine-tuned) because CANVAS-CTX trains on cached embeddings for CPU feasibility, and Method 1 must be compared frozen-vs-frozen against it, never fine-tuned-vs-frozen","Lower ceiling accuracy than the paper's MUSK numbers; benchmarked against ResNet-50 as the floor. Encoder choice does not affect the Method 1 vs Method 2 comparison, which holds the encoder fixed across all four context modes"
H&E resolution,0.25 um/px (40x),0.50 um/px (20x),CPU/16GB laptop feasibility,Minimal per the paper's own Fig S7B (comparable accuracy 40x vs 20x)
Interaction permutation count,1000,200 (pilot profile),CPU runtime on a laptop profile,Noisier z-score estimates for weak habitat-pair effects; strong effects should be stable. State the reduction in any manuscript limitations section
Interaction null model [DELIBERATE],label shuffling (implied/standard),"toroidal shift (F21, T10 self-reference)",Label shuffling destroys spatial autocorrelation; on a toroidal-shift null 10/100 habitat pairs were significant in an internal check vs 94/100 under shuffling on the same data (F21 reproduces this comparison on a fresh synthetic region),"More conservative, more specific significance calls -- answers 'are these two habitats associated' rather than 'is this tissue spatially organised at all'"
Dispersion edge correction [DELIBERATE],not specified,border-corrected Ripley K/L; Donnelly-corrected Clark-Evans,Uncorrected estimates are biased on small tissue cores / TMA regions (F22 shows the magnitude on a synthetic point pattern),"Reduced boundary bias, especially on smaller ROIs; NaN where too few points remain eligible rather than a misleading value"
CN discovery cohort size,unspecified full NSCLC cohort,"35 patients / 140 regions (Schurch), primary source",Smallest complete public CODEX-class CRC resource with the original cellular-neighbourhood methodology behind it,Fewer patients than the paper's discovery cohort; cross-cohort transferability should be checked (e.g. against a 100-image Danenberg subset) before treating CNs as final
Paired/training cohort size,10 WSI (paper's paired set),8 train / 2 val / 2 test Orion CRC slides (patient-level split),Matches the smallest defensible split that keeps train/val/test non-trivial at patient level,"Small test set (n=2); any reported test metric has wide uncertainty and should be bootstrapped, not read as a point estimate"
Deployment cohort size (per cancer),"~1,100 (BRCA, full design) / large pan-cancer transfer set","60 TCGA-COAD (in-domain) + 60 TCGA-BRCA (transfer), PAM50-stratified",Pilot/laptop track scale (config/pilot.yaml honesty ledger),Pilot proves the PIPELINE runs; hazard ratios or subtype-stratified effect sizes from 60 slides split across 5 PAM50 subtypes are not interpretable as findings (see report Limitations)
